"member_type","name","nationality","gender","professional_title","professional_profile","group_name","subgroup_name","group_code","group_status","group_status_note","group_uri","uri","membership_status","interest_represented","subgroup_status"
"Individual expert appointed in his/her personal capacity","Klaus Trutzel","Germany","male","Adviser","Statistics","Urban Audit",,"E00021","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=21","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9614","Member",,
"Individual expert appointed in his/her personal capacity","Clark ANDREW","United Kingdom","male",,"Agriculture","Expert Group on Agriculture and Climate Change ",,"E00118","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=118","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=36056","Member",,
"Individual expert appointed in his/her personal capacity","Tiagos DOMINGOS","Portugal","male",,"Agriculture","Expert Group on Agriculture and Climate Change ",,"E00118","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=118","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=36055","Member",,
"Individual expert appointed as representative of an interest","Gail MCDONALD","United Kingdom","female",,"Agriculture","Expert Group on Agriculture and Climate Change ",,"E00118","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=118","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=36083","Member","Agriculture",
"Individual expert appointed in his/her personal capacity","M. Arturo CERT","Spain","male",,,"Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9615","Member",,
"Individual expert appointed in his/her personal capacity","M. Carlo MARIANI","Italy","female",,,"Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9616","Member",,
"Individual expert appointed in his/her personal capacity","M. Lanfranco CONTE","Italy","male",,"Agriculture","Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=22916","Member",,
"Individual expert appointed in his/her personal capacity","Mme Florence LACOSTE","France","female",,,"Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9618","Member",,
"Individual expert appointed in his/her personal capacity","Mme Mercedes FERNANDEZ ALBALADEJO","Spain","female",,"Agriculture","Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=22919","Member",,
"Individual expert appointed in his/her personal capacity","M. Wenceslao MOREDA","Spain","male",,,"Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9617","Member",,
"Individual expert appointed in his/her personal capacity","Giuseppe de Arcangelis","Italy","male","Professor - Politics","Education","Erasmus Mundus",,"E00207","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=207","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9619","Member",,
"Individual expert appointed in his/her personal capacity","John Greenfield","Portugal","male","Academic expert - Life Sciences","Education","Erasmus Mundus",,"E00207","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=207","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9620","Member",,
"Individual expert appointed in his/her personal capacity","Jose Machado da Silva","Portugal","male","Professor - Hard Sciences and Engineering","Education","Erasmus Mundus",,"E00207","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=207","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9621","Member",,
"Individual expert appointed in his/her personal capacity","Laurent Servant","France","male","Coordinator IDS FUNMAT","Education","Erasmus Mundus",,"E00207","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=207","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9622","Member",,
"Individual expert appointed in his/her personal capacity","Pauliina Karvinen","Finland","female","Coordinator Masters of Science in European Forestry","Education","Erasmus Mundus",,"E00207","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=207","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9623","Member",,
"Individual expert appointed in his/her personal capacity","Peter Bentley","Norway","male","Erasmus Mundus Alumni Association","Education","Erasmus Mundus",,"E00207","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=207","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9624","Member",,
"Individual expert appointed in his/her personal capacity","Rafael Llavori de Micheo","Spain","male",,"Education","Erasmus Mundus",,"E00207","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=207","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9625","Member",,
"Individual expert appointed in his/her personal capacity","Stefano Rossi","Italy","male",,"Education","Erasmus Mundus",,"E00207","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=207","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9626","Member",,
"Individual expert appointed in his/her personal capacity","BANÚS, Enrique","Spain","male",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9627","Member",,
"Individual expert appointed in his/her personal capacity","DE SCHUTTER, Bart","Belgium","male",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9628","Member",,
"Individual expert appointed in his/her personal capacity","GIL-ROBLES, José-Maria","Spain","male",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9629","Member",,
"Individual expert appointed in his/her personal capacity","GOWER, Jacqueline","United Kingdom","female",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9630","Member",,
"Individual expert appointed in his/her personal capacity","HRBEK, Rudolf","Germany","male",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9631","Member",,
"Individual expert appointed in his/her personal capacity","MARESCEAU, Marc","Belgium","male",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9632","Member",,
"Individual expert appointed in his/her personal capacity","MULLER-GRAFF, Peter-Christian","Germany","male",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9633","Member",,
"Individual expert appointed in his/her personal capacity","PALANKAI, Tibor","Hungary","male",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9634","Member",,
"Individual expert appointed in his/her personal capacity","PAPISCA, Antonio","Italy","male",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9635","Member",,
"Individual expert appointed in his/her personal capacity","PORTO, Manuel","Portugal","male",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9636","Member",,
"Individual expert appointed in his/her personal capacity","ROVNA, Lenka","Czech Republic","female",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9637","Member",,
"Individual expert appointed in his/her personal capacity","TENDERA-WLASZCZUK, Helena","Poland","female",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9638","Member",,
"Individual expert appointed in his/her personal capacity","VELO, Dario","Italy","male",,"Academia","European  University Council for the Jean Monnet Programme",,"E00217","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9639","Member",,
"Individual expert appointed in his/her personal capacity","BANUS Enrique","Spain","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9640","Member",,
"Individual expert appointed in his/her personal capacity","BAROUNI Mohamed Moncef","Tunisia","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9641","Member",,
"Individual expert appointed in his/her personal capacity","BEKEMANS Léonce","Belgium","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9642","Member",,
"Individual expert appointed in his/her personal capacity","BORRAS Susana","Denmark","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9644","Member",,
"Individual expert appointed in his/her personal capacity","BRUNET-JAILLY Emmanuel","Canada","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9645","Member",,
"Individual expert appointed in his/her personal capacity","CANELAS DE CASTRO Paulo","Macao","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9647","Member",,
"Individual expert appointed in his/her personal capacity","DAI Bingran","China","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9650","Member",,
"Individual expert appointed in his/her personal capacity","DINKOV Dinko","Bulgaria","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9652","Member",,
"Individual expert appointed in his/her personal capacity","FLORES Renato","Brazil","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9654","Member",,
"Individual expert appointed in his/her personal capacity","FOSSUM John Erik","Norway","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9655","Member",,
"Individual expert appointed in his/her personal capacity","GOETSCHEL Laurent","Switzerland","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9691","Member",,
"Individual expert appointed in his/her personal capacity","GONZALEZ FERNADEZ Sara","Spain","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9656","Member",,
"Individual expert appointed in his/her personal capacity","GRILLER Stefan","Austria","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9657","Member",,
"Individual expert appointed in his/her personal capacity","GROENENDIJK Nico","Netherlands","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9658","Member",,
"Individual expert appointed in his/her personal capacity","GROMYKO Alexey","Russia","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9643","Member",,
"Individual expert appointed in his/her personal capacity","HARPAZ Guy","Israel","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9659","Member",,
"Individual expert appointed in his/her personal capacity","HOLLAND Martin","New Zealand","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9661","Member",,
"Individual expert appointed in his/her personal capacity","HOUFAIDI SETTAR Jamila","Morocco","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9662","Member",,
"Individual expert appointed in his/her personal capacity","HUNG Lien-Te","Taiwan","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9648","Member",,
"Individual expert appointed in his/her personal capacity","IDU Nicolae","Romania","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9693","Member",,
"Individual expert appointed in his/her personal capacity","JAIN Rajendra K.","India","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9663","Member",,
"Individual expert appointed in his/her personal capacity","JERNECK Magnus","Sweden","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9664","Member",,
"Individual expert appointed in his/her personal capacity","KABAALIOGKU Haluk","Turkey","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9665","Member",,
"Individual expert appointed in his/her personal capacity","KATSIKIDES Savvas","Cyprus","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9666","Member",,
"Individual expert appointed in his/her personal capacity","KERIKMAE Tanel","Estonia","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9667","Member",,
"Individual expert appointed in his/her personal capacity","KHUKLYNDINA Liudmila","Belarus","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9668","Member",,
"Individual expert appointed in his/her personal capacity","KREPPEL Amie","United States of America","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9660","Member",,
"Individual expert appointed in his/her personal capacity","KUMAR Andrej","Slovenia","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9672","Member",,
"Individual expert appointed in his/her personal capacity","KUNOVA Vlasta","Slovakia","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9671","Member",,
"Individual expert appointed in his/her personal capacity","LATOSZEK Ewa","Poland","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9670","Member",,
"Individual expert appointed in his/her personal capacity","LETTO-VANAMO Pia","Finland","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9674","Member",,
"Individual expert appointed in his/her personal capacity","LEVI Michel","Ecuador","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9675","Member",,
"Individual expert appointed in his/her personal capacity","MADERA Rosa","Chile","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9653","Member",,
"Individual expert appointed in his/her personal capacity","MARAVEYAS Napoleon","Greece","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9676","Member",,
"Individual expert appointed in his/her personal capacity","MASCITELLI Bruno","Australia","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9677","Member",,
"Individual expert appointed in his/her personal capacity","MULLER-GRAFF Peter-Christian","Germany","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9678","Member",,
"Individual expert appointed in his/her personal capacity","MURAVSKA Tatyana","Latvia","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9679","Member",,
"Individual expert appointed in his/her personal capacity","MURPHY Mary C.","Ireland","female","Doctor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9680","Member",,
"Individual expert appointed in his/her personal capacity","NOGALES DE SANTIVANEZ Emma","Bolivia","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9681","Member",,
"Individual expert appointed in his/her personal capacity","OLIVIER Gerrit","South Africa","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=35242","Member",,
"Individual expert appointed in his/her personal capacity","PALANKAI Tibor","Hungary","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9683","Member",,
"Individual expert appointed in his/her personal capacity","PARK Sung-Hoon","Korea, South","male","Doctor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9669","Member",,
"Individual expert appointed in his/her personal capacity","PETCHSIRI Apirat","Thailand","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9684","Member",,
"Individual expert appointed in his/her personal capacity","PETROV Roman","Ukraine","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9685","Member",,
"Individual expert appointed in his/her personal capacity","PICOD Fabrice","France","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9673","Member",,
"Individual expert appointed in his/her personal capacity","PINON ANTILLON Rosa Maria","Mexico","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9687","Member",,
"Individual expert appointed in his/her personal capacity","PORTO Manuel","Portugal","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9651","Member",,
"Individual expert appointed in his/her personal capacity","PREDA Daniela","Italy","female","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9688","Member",,
"Individual expert appointed in his/her personal capacity","RODIN Sinisa","Croatia","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9689","Member",,
"Individual expert appointed in his/her personal capacity","RUIZ DIAZ LABRANO Roberto","Paraguay","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9690","Member",,
"Individual expert appointed in his/her personal capacity","SISKEVA Nadezda","Czech Republic","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9646","Member",,
"Individual expert appointed in his/her personal capacity","STAHLI Jorge","Argentina","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9649","Member",,
"Individual expert appointed in his/her personal capacity","TATSUMI Asatsugu","Japan","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9692","Member",,
"Individual expert appointed in his/her personal capacity","TING Wai","China","male","Professor Hong Kong","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=35241","Member",,
"Individual expert appointed in his/her personal capacity","WHITMAN Richard","United Kingdom","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9695","Member",,
"Individual expert appointed in his/her personal capacity","XUEREB Peter G.","Malta","male","Professor","Academia","Presidents of European Community Study Associations",,"E00218","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9696","Member",,
